archive_id,card_id,title,country,location,medium,collection,geolocated,x,y,notes,include,archive_id
216,299,Portuguese Pavillion,Portuguese Park,Parc,Architecture,Brian May,Confident,-284.8219096,195.3227923,,TRUE,216
217,NA,Geography Room,Prussian Section,Palais,Globes Furniture,Roger Viollet,approximate,-74.02290671,21.9618136,,TRUE,217
220,42,Labour Gallery Prussian Section,Prussian Section,Palais,Architecture,Archives Nationales de France,approximate,-208.634884,36.07062061,Alt View of 220 848,TRUE,220
230,77,Russian Furniture,Russian Section,Palais,Furniture,Brian May,somewhat confident,-12.11929959,107.8524792,sculpture from number 3 seen,TRUE,230
240,251,Swedish Costumes,Swedish Section,Palais,Costume,Brian May,approximate,-22.19998219,68.09319861,,TRUE,240
244,217,English Terracottas,Great Britain and Ireland,Palais,Tiles,Brian May,Guess,81.51238329,52.95510444,,TRUE,244
246,369,English Curtains,Great Britain and Ireland,Palais,Curtain,Brian May,Confident,99.44455431,34.05600263,,TRUE,246
251,NA,Belgian Staircase,Belgian Section,Palais,Architecture,Roger Viollet,somewhat confident,-99.55007952,0.151456407,Alt view of 64,TRUE,251
254,NA,August Klein,Austrian Section,Palais,Crystal,Roger Viollet,somewhat confident,-102.293829,69.77891902,Alt view of 254 115 154,TRUE,254
255,348,South American States Gallery,South American Section,Palais,Sculpture Photography Map,Archives Nationales de France,Approximate,69.00992621,62.90116941,,TRUE,255
256,NA,Labour Gallery Swedish Section,Swedish Section,Palais,Machine (Boats),Roger Viollet,Confident,-27.2366875,161.8385795,,TRUE,256
263,NA,General View of the Expo from the lighthouse,Exposition Grounds,Parc,Landscape,Roger Viollet,remove,442.9518731,-105.6420533,"alt view of 60, 1026",FALSE,263
264,279,Birds Eye View of the Palais,Exposition Grounds,Parc,Landscape,Archives Nationales de France,Confident,-229.6947048,1.642390498,,TRUE,264
266,365,View of Seine from the Lighthouse,Exposition Grounds,Parc,Landscape,Brian May,remove,452.0399811,-97.62439661,duplicate of 426,FALSE,266
283,NA,Saltwater Aquarium a,Saltwater Aquarium,Parc,Architecture,Roger Viollet,Confident,-369.4153911,-64.15310062,Partial duplicate of 1050,FALSE,283
284,NA,Saltwater Aquarium b,Saltwater Aquarium,Parc,Aquarium,Roger Viollet,remove,-370.3784283,-69.98647796,Ghosts,FALSE,284
285,NA,Saltwater Aquarium c,Saltwater Aquarium,Parc,Aquarium,Roger Viollet,remove,-371.130359,-70.622727,Duplicate with bad exposure,FALSE,285
287,182,Freshwater Aquarium Exterior,Horticultural Gardens,Parc,Architecture,Brian May,Confident,-302.8816478,-167.211377,,TRUE,287
295,185,The Arch of the Giants,Belgian Park,Parc,Architecture,Archives Nationales de France,Confident,-260.6237177,-52.34700005,,TRUE,295
296,187,Exterior of the Painting Museum,Belgian Park,Parc,Architecture,Archives Nationales de France,Confident,-270.9100762,-5.056452283,,TRUE,296
312,647,Temple of Edfu,Egyptian Park,Parc,Architecture,Brian May,remove,233.641965,142.7240037,Duplicate of 1115 remove,FALSE,312
313,288,The Mosque,Ottoman Park,Parc,Architecture,Brian May,remove,231.8488995,120.6866504,dupe of 11 alt view of 13,FALSE,313
314,NA,Emperors Pavillion Front View,French Park,Parc,Architecture,Roger Viollet,Confident,286.3949414,-10.11689543,alt view of 20 48 314,TRUE,314
324,553,Italian Earthenware Pavillion,Italian Park,Parc,Architecture,Archives Nationales de France,confident,65.66588241,208.3431575,,TRUE,324
327,184,The Creek Bridge With a View of the Dutch Farmhouse,Dutch Park (Horticultural Garden),Parc,Architecture,Brian May,Confident,-282.2444925,-219.7554835, ,TRUE,327
329,210,Empress Pavillion,Horticultural Gardens,Parc,Architecture,Brian May,Confident,-437.2472079,-166.7595628,,TRUE,329
333,378,The Mexican Temple,Mexican Park,Parc,Architecture,Archives Nationales de France,Confident,412.4051427,66.39079675,,TRUE,333
336,NA,Diamond Cutting of the Netherlands,Dutch Park (Horticultural Garden),Parc,Architecture,Archives Nationales de France,Confident,-276.1806612,-128.7256049,,TRUE,336
341,NA,American Farmer's Home,American Park,Parc ,Architecture,Francois Brunet,Confident,272.3576557,79.51038337,,TRUE,341
346,451,Romanian Church,Romanian Park,Parc,Architecture,Brian May,Confident,388.654962,129.1594496,,TRUE,346
347,NA,Northern Yurt,Russian Park,Parc,Architecture,Gary Van Zante,Confident,-95.31838991,212.7277128,,TRUE,347
348,NA,The Great Greenhouse,Horticultural Gardens,Parc,Landscape,Brian May,Confident,-379.3076385,-188.2560166,,TRUE,348
349,NA,Inside the Pavilion of the Bey of Tunisia,Tunisian Park,Parc,Architecture (Interior),Archives Nationales de France,Confident,430.4098501,199.0673933,,TRUE,349
350,45,Bey Palace,Tunisian Park,Parc,Architecture,Brian May,Confident,399.0346,202.0685042,,TRUE,350
351,213,Bey Palace Exterior,Tunisian Park,Parc,Architecture,Brian May,Confident,387.1665706,174.785678,,TRUE,351
359,NA,Pottery and Enamels,French Park,Parc,Architecture Parc,Roger Viollet,Confident,267.6466242,-94.48272886,372 410 359,TRUE,359
361,NA,Virebent Freres & Fils,French Park,Parc,Architecture Parc,Roger Viollet,somewhat confident,301.735121,-117.4744204,,TRUE,361
365,8020,Swedish Section,Swedish Section,Palais,Furniture Sculpture Porcelain,Tekniska museet,approximate,-20.04545412,96.59677567,,TRUE,365
366,NA,Thorvaldesen Leaning on the Statue of Hope,Danish Fine Arts Section,Palais,Sculpture,Tekniska museet,approximate,-32.42470973,43.74443196,,TRUE,366
367,NA,Young Cupid,Papal States (Rome) Fine Arts Section,Palais,Sculpture,Tekniska museet,somewhat confident,27.753268,44.66462054,sculpture close up as seen in 211,FALSE,367
368,NA,Last Days of Napoleon by Vincenzo Vela,French Fine Arts Section,Palais,Sculpture,Tekniska museet,Confident,4.938009377,35.77420005,      ,TRUE,368
369,NA,View of Lighthouse and Photosculpture Building,Exposition Grounds,Parc,Architecture Lighthouse Photosculpture,Tekniska museet,Confident,360.5773222,8.762582496,,TRUE,369
370,NA,Aquarium Interior,Horticultural Gardens,Parc,Aquarium,Tekniska museet,Confident,-299.0989075,-177.0776202,,TRUE,370
