archive_id,card_id,title,country,location,medium,collection,geolocated,x,y,notes,include
95,328,English Agricultural Machines,Great Britain and Ireland,Palais,Machine,Brian May,approximate,148.6933854,55.26115633,,True
25,,Kingdom of Wurttemberg,Wurttemberg Section,Palais,Birdcage,Archives Nationales de France,Approximate,-95.26375567,50.10041039,,True
111,589,Jardin Central Sculptures,Central Garden,Central Garden,Sculpture,Brian May, confident,-52.59776275,18.67892942,,True
25,,August Klein Austria,Austrian Section,Palais,Crystal,Roger Viollet,approximate,-85.11495829,79.11738878,Alt view of 254 115 154,True
25,,Porcelain and Sculptures,Prussian Section,Palais,Sculpture Porcelain,Roger Viollet,approximate,-127.2544867,13.20829885,,True
25,,Swiss Labour Gallery,Swiss Section,Palais,Machine,Roger Viollet,confident,-77.32124223,164.0225139,,True
25,,Bronzes and Photographs,French Section,Palais,Bronzes Photographs,Roger Viollet,approximate,53.86259085,-95.85842796,,True
25,,Fine Arts,French Fine Arts Section,Palais,Sculpture Painting,Roger Viollet,approximate,-67.06771886,-36.59647889,,True
25,,Fine Arts,French Fine Arts Section,Palais,Sculpture Painting,Roger Viollet,approximate,-77.14561221,-38.33031,,True
25,,Fine Arts,French Fine Arts Section,Palais,Sculpture Painting,Roger Viollet,approximate,4.486535007,-45.95508397,,True
25,,Sculptures and Paintings,French Fine Arts Section,Palais,Sculpture Painting,Roger Viollet,approximate,42.04822894,-37.90758447,,True
25,,Sculptures and Paintings,Italian Fine Arts Section,Palais,Sculpture Painting,Roger Viollet,remove,21.11648579,45.24498479,duplicate of 1046,False
129,117,Crib of the Imperial Prince,Imperial Pavillion,Palais,Imperial,Brian May,Very Unsure - Fabricated,286.1696392,-24.44329712,,True
141,747,The Tribunal by L Harze,Belgian Fine Arts Section,Palais,Sculpture,Brian May,approximate,-94.57508204,-12.24384417,,True
144,124,Algeria and French Colonies,Algerian Section,Palais,Colonial Animals,Brian May,approximate,-129.9452713,-48.52674885,,True
145,181,Labour Gallery Algerian Section,Algerian Section,Palais,Machine,Brian May,confident,-177.2248668,-75.71033263,,True
146,261,Apparatus for Science,American Section,Palais,Machine,Brian May,approximate,70.46156787,126.2714577,,True
148,339,Furniture,American Section,Palais,Furniture,Archives Nationales de France,approximate,64.59695366,85.26596976,,True
149,342,Vehicles and Locomotives,American Section,Palais,Machines,Archives Nationales de France,Confident,60.23208728,167.3037739,,True
150,405,Statue of Napoleon,American Fine Arts Section,Palais,Fine Arts,Archives Nationales de France,somewhat confident,63.49659503,38.05838238,,True
151,406,Indian Hunter Statue,American Fine Arts Section,Palais,Fine Arts,Archives Nationales de France,somewhat confident,58.29510169,36.21618682,,True
154,106,Chandeliers and Crystals,Austrian Section,Palais,Crystal,Brian May,approximate,-69.85992801,83.32837579,Alt view of 254 115 154,True
25,,Crystal,French Section,Palais,Crystal,Roger Viollet,approximate,43.32599954,-78.28890373,Horrible 3D remove??,False
25,,Baccarat Crystals,French Section,Palais,Crystal,Roger Viollet,Confident,23.54786974,-71.87199939,,True
171,134,Labour Gallery French Section,French Section,Palais,Machine,Brian May,approximate,-142.4163364,-145.4634275,,True
172,152,Renaissance Bed,French Section,Palais,Furniture,Brian May,somewhat confident,142.4434446,-35.71036305,,True
176,249,The Lion,French Section,Palais,Animal,Archives Nationales de France,approximate,-114.1767922,-39.13465694,,True
180,475,Gallery of French Furniture: Marble and Onyx,French Section,Palais,Sculpture Furniture,Brian May,approximate,47.55632382,-62.60172251,,True
184,563,French Fine Arts,French Fine Arts Section,Palais,Sculpture Painting,Brian May,approximate,-18.77644418,-38.77901815,same sculpture as 67,True
209,8206,Piccirillo napolitain by Miglioretti,Central Garden,Palais,Sculpture,Roger Viollet,approximate,9.737254375,17.81957365,,True
210,8207,La Vanite by Tantardini,Central Garden,Palais,Sculpture,Roger Viollet,approximate,19.93160583,17.73161781,,True
211,8212,Fine Arts,Papal States (Rome) Fine Arts Section,Palais,Sculpture,Roger Viollet,Confident,36.20336939,41.38786237,  ,True
212,251,Norwegian Costumes,Norwegian Section,Palais,Costume,Brian May,approximate,-24.00596359,63.26052454,,True
214,304,Nova Scotia Exhibition,Canadian Section (British Colonies),Palais,Cultural artefacts,Archives Nationales de France,Confident,89.53084827,36.18027207,,True
216,299,Portuguese Pavillion,Portuguese Park,Parc,Architecture,Brian May,Confident,-284.8219096,195.3227923,,True
25,,Geography Room,Prussian Section,Palais,Globes Furniture,Roger Viollet,approximate,-74.02290671,21.9618136,,True
220,42,Labour Gallery Prussian Section,Prussian Section,Palais,Architecture,Archives Nationales de France,approximate,-208.634884,36.07062061,Alt View of 220 848,True
230,77,Russian Furniture,Russian Section,Palais,Furniture,Brian May,somewhat confident,-12.11929959,107.8524792,sculpture from number 3 seen,True
212,251,Swedish Costumes,Swedish Section,Palais,Costume,Brian May,approximate,-22.19998219,68.09319861,,True
243,217,English Terracottas,Great Britain and Ireland,Palais,Tiles,Brian May,Guess,81.51238329,52.95510444,,True
246,369,English Curtains,Great Britain and Ireland,Palais,Curtain,Brian May,Confident,99.44455431,34.05600263,,True
25,,Belgian Staircase,Belgian Section,Palais,Architecture,Roger Viollet,somewhat confident,-99.55007952,0.151456407,Alt view of 64,True
25,,August Klein,Austrian Section,Palais,Crystal,Roger Viollet,somewhat confident,-102.293829,69.77891902,Alt view of 254 115 154,True
255,348,South American States Gallery,South American Section,Palais,Sculpture Photography Map,Archives Nationales de France,Approximate,69.00992621,62.90116941,,True
25,,Labour Gallery Swedish Section,Swedish Section,Palais,Machine (Boats),Roger Viollet,Confident,-27.2366875,161.8385795,,True
25,,General View of the Expo from the lighthouse,Exposition Grounds,Parc,Landscape,Roger Viollet,remove,442.9518731,-105.6420533,"alt view of 60, 1026",False
264,279,Birds Eye View of the Palais,Exposition Grounds,Parc,Landscape,Archives Nationales de France,Confident,-229.6947048,1.642390498,,True
266,365,View of Seine from the Lighthouse,Exposition Grounds,Parc,Landscape,Brian May,remove,452.0399811,-97.62439661,duplicate of 426,False
25,,Saltwater Aquarium a,Saltwater Aquarium,Parc,Architecture,Roger Viollet,Confident,-369.4153911,-64.15310062,Partial duplicate of 1050,False
25,,Saltwater Aquarium b,Saltwater Aquarium,Parc,Aquarium,Roger Viollet,remove,-370.3784283,-69.98647796,Ghosts,False
25,,Saltwater Aquarium c,Saltwater Aquarium,Parc,Aquarium,Roger Viollet,remove,-371.130359,-70.622727,Duplicate with bad exposure,False
287,182,Freshwater Aquarium Exterior,Horticultural Gardens,Parc,Architecture,Brian May,Confident,-302.8816478,-167.211377,,True
295,185,The Arch of the Giants,Belgian Park,Parc,Architecture,Archives Nationales de France,Confident,-260.6237177,-52.34700005,,True
296,187,Exterior of the Painting Museum,Belgian Park,Parc,Architecture,Archives Nationales de France,Confident,-270.9100762,-5.056452283,,True
